"DEJAVNOST","2010 CO2 (Gg)","2010 N2O (Mg)","2010 CH4 (Mg)","2010 SF6 (Mg)","2011 CO2 (Gg)","2011 N2O (Mg)","2011 CH4 (Mg)","2011 SF6 (Mg)","2012 CO2 (Gg)","2012 N2O (Mg)","2012 CH4 (Mg)","2012 SF6 (Mg)","2013 CO2 (Gg)","2013 N2O (Mg)","2013 CH4 (Mg)","2013 SF6 (Mg)","2014 CO2 (Gg)","2014 N2O (Mg)","2014 CH4 (Mg)","2014 SF6 (Mg)","2015 CO2 (Gg)","2015 N2O (Mg)","2015 CH4 (Mg)","2015 SF6 (Mg)","2016 CO2 (Gg)","2016 N2O (Mg)","2016 CH4 (Mg)","2016 SF6 (Mg)","2017 CO2 (Gg)","2017 N2O (Mg)","2017 CH4 (Mg)","2017 SF6 (Mg)"
"H50 Vodni promet",...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-,...,...,...,-
"H51 Zraèni promet",5.4,0.2,0.1,-,6.8,0.2,0.1,-,6.3,0.2,0.1,-,5.3,0.2,0.1,-,6.1,0.2,0.1,-,6.3,0.2,0.1,-,6.3,0.2,0.1,-,6.6,0.2,0.1,-
"H52 Skladišèenje in spremljajoèe prometne dejavnosti",143.3,1.8,14.4,-,151.6,2.0,14.6,-,126.1,2.0,11.4,-,133.2,1.9,12.7,-,75.5,1.7,5.0,-,85.2,2.0,5.6,-,95.6,2.4,6.1,-,92.6,2.8,4.9,-
"H53 Poštna in kurirska dejavnost",66.6,1.5,3.1,-,73.3,1.8,3.0,-,71.5,2.0,2.7,-,74.3,2.2,2.8,-,69.9,2.3,2.2,-,67.1,2.4,2.1,-,65.2,2.7,1.4,-,70.6,3.2,1.2,-
"I Gostinstvo",174.7,2.7,15.5,-,173.3,3.0,13.9,-,149.3,3.1,10.7,-,149.5,3.1,11.3,-,119.4,3.1,6.9,-,128.7,3.4,7.5,-,141.1,4.1,7.7,-,140.3,4.8,6.2,-
"I(55-56) Gostinske nastanitvene dejavnosti; dejavnost strežbe jedi in pijaè",174.7,2.7,15.5,-,173.3,3.0,13.9,-,149.3,3.1,10.7,-,149.5,3.1,11.3,-,119.4,3.1,6.9,-,128.7,3.4,7.5,-,141.1,4.1,7.7,-,140.3,4.8,6.2,-
"J Informacijske in komunikacijske dejavnosti",72.9,1.6,4.5,-,76.5,1.9,4.0,-,71.7,2.0,3.3,-,67.0,2.0,3.1,-,70.3,2.2,3.0,-,72.1,2.4,3.0,-,73.9,2.7,2.6,-,78.4,3.2,2.3,-
"J58 Založništvo",6.4,0.1,0.6,-,5.4,0.1,0.4,-,4.8,0.1,0.3,-,5.4,0.1,0.3,-,5.1,0.1,0.3,-,5.0,0.1,0.3,-,4.2,0.1,0.2,-,4.2,0.1,0.2,-
"J(59-60) Dejavnosti v zvezi s filmi, video in zvoènimi zapisi; radijska in televizijska dejavnost",9.7,0.2,0.6,-,10.4,0.3,0.5,-,10.0,0.3,0.5,-,9.4,0.3,0.4,-,8.7,0.3,0.3,-,9.1,0.3,0.3,-,9.3,0.4,0.2,-,10.2,0.4,0.2,-
"J61 Telekomunikacijske dejavnosti",30.1,0.6,1.5,-,32.8,0.8,1.4,-,30.8,0.9,1.2,-,29.0,0.9,1.1,-,32.9,1.0,1.2,-,32.4,1.1,1.1,-,31.4,1.2,0.9,-,33.7,1.4,0.8,-
"J(62-63) Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti; druge informacijske dejavnosti",26.7,0.6,1.8,-,28.0,0.7,1.7,-,26.0,0.7,1.3,-,23.2,0.7,1.2,-,23.6,0.7,1.1,-,25.5,0.8,1.2,-,29.0,1.0,1.2,-,30.2,1.2,1.0,-
"K Finanène in zavarovalniške dejavnosti",51.4,1.2,3.5,-,53.0,1.3,3.0,-,50.7,1.4,2.6,-,61.4,1.8,3.1,-,57.0,1.7,3.0,-,56.0,1.7,3.0,-,51.3,1.7,2.4,-,46.1,1.6,2.0,-
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov",42.2,1.0,2.5,-,45.2,1.2,2.4,-,43.6,1.2,2.0,-,53.1,1.6,2.4,-,49.4,1.5,2.5,-,47.7,1.5,2.4,-,43.9,1.5,1.9,-,39.4,1.5,1.5,-
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti",4.5,0.1,0.5,-,3.1,0.1,0.3,-,2.6,0.1,0.3,-,3.6,0.1,0.4,-,3.7,0.1,0.4,-,4.5,0.1,0.5,-,3.9,0.1,0.4,-,3.1,0.0,0.3,-
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve",4.7,0.1,0.4,-,4.8,0.1,0.4,-,4.5,0.1,0.3,-,4.8,0.1,0.3,-,3.8,0.1,0.2,-,3.8,0.1,0.2,-,3.6,0.1,0.2,-,3.7,0.1,0.2,-
"L Poslovanje z nepremièninami",87.4,1.0,9.4,-,80.3,1.0,8.1,-,62.5,0.9,5.9,-,57.2,0.8,5.5,-,41.1,0.8,3.2,-,42.8,0.9,3.2,-,54.6,1.2,3.9,-,50.8,1.4,3.1,-
"L68 Poslovanje z nepremièninami",87.4,1.0,9.4,-,80.3,1.0,8.1,-,62.5,0.9,5.9,-,57.2,0.8,5.5,-,41.1,0.8,3.2,-,42.8,0.9,3.2,-,54.6,1.2,3.9,-,50.8,1.4,3.1,-
"M Strokovne, znanstvene in tehniène dejavnosti",228.0,4.2,18.6,-,224.7,4.7,16.1,-,199.1,4.8,12.5,-,186.6,4.7,11.8,-,199.0,5.1,12.2,-,209.6,5.5,12.7,-,219.8,6.6,11.8,-,218.0,7.5,9.8,-
"M(69-70) Pravne in raèunovodske dejavnosti; dejavnost uprav podjetij; podjetniško in poslovno svetovanje",70.9,1.5,5.6,-,71.6,1.6,5.0,-,65.4,1.7,4.1,-,59.7,1.6,3.7,-,75.9,1.8,5.3,-,83.9,2.0,5.9,-,87.6,2.4,5.4,-,82.4,2.5,4.5,-
"M71 Arhitekturno in tehnièno projektiranje; tehnièno preizkušanje in analiziranje",107.3,1.8,9.0,-,101.4,2.0,7.3,-,88.5,2.0,5.6,-,83.9,2.0,5.4,-,81.0,2.2,4.5,-,81.9,2.3,4.3,-,85.8,2.8,4.0,-,88.0,3.3,3.3,-
"M72 Znanstvena raziskovalna in razvojna dejavnost",22.3,0.3,2.3,-,22.5,0.3,2.2,-,17.1,0.3,1.5,-,16.4,0.3,1.5,-,15.9,0.3,1.3,-,17.1,0.3,1.3,-,17.6,0.4,1.3,-,16.7,0.4,1.1,-
"M73 Oglaševanje in raziskovanje trga",9.9,0.2,0.6,-,10.6,0.3,0.6,-,10.2,0.3,0.5,-,10.1,0.3,0.5,-,10.0,0.3,0.4,-,9.6,0.3,0.4,-,9.8,0.4,0.3,-,10.5,0.4,0.3,-
"M(74-75) Druge strokovne in tehniène dejavnosti; veterinarstvo",17.5,0.4,1.1,-,18.6,0.5,1.0,-,17.9,0.5,0.9,-,16.5,0.5,0.8,-,16.3,0.5,0.7,-,17.1,0.6,0.8,-,19.0,0.7,0.7,-,20.5,0.8,0.7,-
"N Druge raznovrstne poslovne dejavnosti",161.6,3.7,8.3,-,176.3,4.4,7.8,-,170.6,4.8,6.9,-,142.8,4.3,5.9,-,154.7,4.9,6.1,-,174.3,5.9,6.6,-,189.0,7.3,5.6,-,214.6,9.1,5.0,-
"N77 Dajanje v najem in zakup",49.0,1.2,2.3,-,54.2,1.4,2.2,-,53.4,1.6,2.0,-,35.1,1.1,1.4,-,43.5,1.4,1.7,-,56.7,2.0,2.0,-,64.6,2.5,1.8,-,78.1,3.4,1.7,-
"N78 Zaposlovalne dejavnosti",5.6,0.1,0.3,-,5.9,0.1,0.3,-,4.9,0.1,0.2,-,3.2,0.1,0.1,-,3.8,0.1,0.2,-,5.6,0.2,0.3,-,7.4,0.3,0.3,-,9.3,0.4,0.2,-
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti",2.9,0.1,0.2,-,3.2,0.1,0.2,-,3.8,0.1,0.2,-,3.6,0.1,0.2,-,3.7,0.1,0.2,-,4.0,0.1,0.2,-,4.5,0.1,0.3,-,4.8,0.2,0.2,-
